Name,IP,K/9,BB/9,HR/9,BABIP,GB%,HR/FB,GB/FB,ERA,xERA,ERA-,SIERA,FIP,xFIP,FIP-,xFIP-,WAR,AVG,WHIP,WPA,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,K%,BB%,playerid
Brad Wieck,17,14.82,5.29,0,0.303,30.30%,0.00%,0.71,0,2.69,0,3.04,1.63,3.1,38,73,0.4,0.164,1.18,0.31,21.70%,58.20%,39.20%,57.60%,82.90%,75.70%,48.10%,59.20%,9.60%,39.40%,14.10%,16390
David Phelps,10.1,13.06,3.48,0,0.364,40.90%,0.00%,1.13,0.87,2.44,20,2.82,1.71,3.09,43,72,0.4,0.216,1.16,0.67,28.30%,60.90%,40.20%,61.80%,83.30%,73.70%,36.50%,54.80%,10.60%,35.70%,9.50%,6316
Casey Sadler,31,7.84,2.61,0.29,0.211,55.80%,4.20%,1.79,0.87,3,21,3.6,2.81,3.77,67,88,0.7,0.163,0.84,0.77,33.70%,61.10%,44.60%,62.80%,89.40%,77.30%,39.90%,52.60%,10.10%,23.70%,7.90%,11209
Aaron Loup,50.2,9.06,2.31,0.18,0.264,52.40%,3.40%,2.24,1.07,3.12,27,3.16,2.41,3.17,57,75,1.5,0.192,0.93,1.14,32.10%,64.40%,46.80%,56.80%,86.40%,75.40%,45.50%,66.50%,11.50%,26.30%,6.70%,10343
Jacob deGrom,92,14.28,1.08,0.59,0.213,44.00%,9.40%,1.14,1.08,1.56,27,1.74,1.23,1.62,29,37,4.9,0.128,0.55,2.86,43.20%,74.60%,55.30%,45.10%,75.60%,60.90%,38.50%,63.00%,21.60%,45.10%,3.40%,10954
Justin Bruihl,14,5.79,3.86,0,0.194,52.90%,0.00%,1.8,1.29,2.63,32,4.88,3.16,4.43,75,105,0.2,0.156,0.93,0.48,31.30%,67.90%,48.30%,66.70%,87.70%,80.50%,46.70%,76.50%,9.40%,17.60%,11.80%,23779
Luke Farrell,20.2,9.15,3.48,0.44,0.235,38.50%,5.00%,1,1.31,4.08,30,3.84,2.92,4.01,69,94,0.3,0.178,1.02,0.41,32.70%,62.10%,44.10%,56.20%,81.60%,70.00%,38.60%,54.30%,13.20%,25.90%,9.90%,15101
Ranger Suarez,78,9,3.46,0.35,0.239,60.70%,6.30%,2.48,1.38,2.82,33,3.7,2.97,3.57,68,84,1.9,0.18,1.03,2.85,30.90%,69.00%,45.70%,66.50%,83.80%,76.70%,38.90%,55.80%,10.70%,25.00%,9.60%,17277
Jake Cousins,25.2,13.32,5.26,0.7,0.239,46.80%,11.10%,1.22,1.4,3.83,34,3.38,3.44,3.67,81,87,0.3,0.151,1.09,0.65,34.30%,60.20%,43.70%,41.40%,77.00%,59.30%,36.50%,61.90%,17.80%,36.20%,14.30%,21620
Collin McHugh,57.2,10.92,1.87,0.47,0.289,43.70%,6.40%,1.26,1.4,2.44,34,2.77,2.14,2.91,52,68,1.6,0.202,0.94,1.75,34.50%,64.80%,48.60%,52.80%,79.20%,69.20%,46.70%,63.50%,15.00%,31.50%,5.40%,7531
Dominic Leone,44.2,8.26,4.03,0.4,0.207,46.50%,4.30%,1.15,1.41,3.16,35,4.37,3.32,4.57,82,108,0.6,0.164,1.03,1.28,32.10%,66.40%,45.40%,54.30%,87.80%,73.30%,38.70%,60.60%,12.10%,22.80%,11.10%,13763
Josh Hader,50.2,15.28,3.38,0.53,0.232,31.00%,7.70%,0.67,1.42,2.17,34,2.05,1.78,2.38,41,56,2.2,0.129,0.81,4.43,37.00%,72.90%,51.30%,44.60%,70.70%,59.30%,39.80%,64.10%,20.80%,44.80%,9.90%,14212
Emmanuel Clase,61.2,9.49,2.19,0.29,0.265,68.90%,6.90%,3.97,1.46,2.24,33,2.54,2.21,2.62,52,62,1.9,0.197,0.99,1.16,41.00%,71.50%,54.10%,48.60%,84.10%,68.70%,42.90%,63.70%,16.90%,26.20%,6.00%,21032
Caleb Baragar,23,6.26,4.7,0.39,0.273,22.70%,2.60%,0.39,1.57,4.32,39,5.8,4.29,6.67,106,158,0.1,0.229,1.35,0.24,26.30%,74.40%,47.80%,69.20%,81.50%,77.80%,44.70%,53.10%,10.60%,16.30%,12.20%,19231
Joe Barlow,22.2,8.34,3.97,0.4,0.161,40.40%,4.30%,1,1.59,2.78,37,4.27,3.21,4.44,76,104,0.4,0.128,0.88,0.37,35.10%,74.10%,50.00%,67.10%,84.50%,76.90%,38.20%,59.10%,11.50%,23.90%,11.40%,22296
Andrew Kittredge,67.2,9.71,2,0.8,0.253,53.80%,12.50%,1.92,1.6,2.91,38,2.95,2.96,3.07,72,72,1.4,0.196,0.93,2.24,44.30%,67.90%,53.90%,55.40%,83.50%,69.80%,40.70%,68.40%,16.30%,27.80%,5.70%,12828
Kendall Graveman,50,9.72,2.7,0.54,0.217,55.90%,10.70%,2.36,1.62,3.51,39,3.08,3.1,3.32,74,78,1,0.163,0.86,3.33,32.80%,63.50%,44.50%,63.00%,86.90%,76.00%,38.00%,58.80%,10.70%,27.80%,7.70%,15514
Drew Steckenrider,59.1,8.19,2.28,0.61,0.248,41.00%,6.20%,0.98,1.67,2.98,40,3.71,3.08,4.15,73,97,1.4,0.199,0.96,2.96,33.00%,70.50%,50.10%,73.10%,86.70%,81.80%,45.60%,64.00%,9.10%,23.70%,6.60%,18806
Tyler Rogers,70,6.17,1.29,0.51,0.263,59.00%,7.50%,2.34,1.67,2.67,41,3.5,3.13,3.74,77,88,1.3,0.226,0.99,2.92,32.00%,69.20%,50.20%,75.50%,89.90%,85.20%,48.80%,64.40%,7.40%,17.50%,3.60%,15541
Austin Warren,16,9.56,2.25,0,0.279,44.20%,0.00%,1.12,1.69,1.9,39,3.32,1.79,3.68,42,86,0.6,0.2,1,0.71,32.10%,68.10%,46.80%,40.90%,92.20%,71.30%,40.70%,59.40%,13.40%,26.60%,6.30%,24937
Travis Bergen,10.2,5.06,6.75,0.84,0.138,33.30%,6.30%,0.63,1.69,5.08,38,6.79,6.07,7.52,148,174,-0.2,0.139,1.22,-0.46,21.60%,76.60%,44.10%,66.70%,86.40%,80.70%,41.00%,43.50%,8.50%,13.00%,17.40%,18581
Drew Pomeranz,25.2,10.52,3.51,0.7,0.283,45.20%,12.50%,1.75,1.75,3.26,43,3.34,3.01,3.1,71,73,0.5,0.207,1.13,1.06,21.80%,70.90%,44.20%,64.70%,78.40%,74.70%,45.60%,58.80%,11.20%,29.40%,9.80%,11426
Andrew Chafin,60.2,8.46,2.08,0.59,0.212,47.40%,6.90%,1.24,1.78,2.78,43,3.44,2.93,3.78,70,89,1.3,0.17,0.82,2.21,36.50%,69.60%,50.20%,61.90%,88.60%,77.20%,41.30%,64.50%,11.40%,25.00%,6.10%,12988
Domingo Tapia,24.2,7.66,4.38,0.36,0.219,44.60%,5.00%,1.45,1.82,3.91,41,4.58,3.45,4.36,82,102,0.3,0.174,1.09,0.87,29.60%,59.70%,41.70%,63.20%,91.30%,79.40%,40.10%,50.00%,8.60%,21.40%,12.20%,12178
Jimmy Nelson,29,13.66,4.03,0,0.255,37.00%,0.00%,0.8,1.86,2.19,47,2.81,1.89,3.42,44,81,0.9,0.141,0.93,0.3,30.40%,60.30%,41.50%,44.00%,81.20%,64.10%,37.10%,44.00%,14.90%,37.90%,11.20%,10547
Mark Melancon,57.1,8.16,3.61,0.63,0.258,58.10%,14.80%,3.33,1.88,3.94,47,3.69,3.51,3.44,84,81,0.8,0.208,1.15,2.59,30.10%,65.90%,44.60%,65.60%,87.60%,78.80%,40.40%,63.20%,9.50%,22.50%,10.00%,4264
Art Warren,14.1,13.19,3.77,0.63,0.276,32.10%,7.70%,0.69,1.88,2.52,44,2.87,2.6,3.31,59,78,0.3,0.176,1.05,0.16,36.00%,76.60%,51.60%,42.60%,79.20%,63.50%,38.50%,63.80%,18.90%,36.20%,10.30%,18251
Garrett Whitlock,70.1,9.98,2.05,0.77,0.31,48.90%,10.20%,1.58,1.92,3.02,42,3.06,2.86,3.25,68,76,1.5,0.235,1.12,1.96,32.40%,70.70%,50.70%,62.90%,80.10%,74.30%,47.80%,63.80%,13.00%,27.20%,5.60%,20191
T.J. McFarland,27.2,4.88,1.95,0.65,0.228,65.00%,12.50%,3.25,1.95,3.33,49,3.67,3.67,3.76,88,89,0.2,0.208,0.94,1.32,34.50%,72.70%,48.90%,72.40%,93.80%,84.30%,37.50%,55.90%,7.70%,14.70%,5.90%,3237
Reynaldo Lopez,44,8.18,2.25,0.82,0.204,38.40%,9.10%,0.98,2.05,3.19,48,3.83,3.28,3.87,76,91,0.8,0.171,0.84,0.27,34.40%,69.30%,49.70%,67.20%,82.90%,76.70%,43.80%,63.80%,11.60%,24.50%,6.70%,16400
Chris Ellis,21.2,7.48,3.74,0.83,0.237,26.70%,6.90%,0.55,2.08,5.5,48,5.06,4.22,5.41,95,126,0.3,0.203,1.15,0.45,30.30%,70.20%,47.40%,63.90%,81.10%,74.90%,42.90%,53.30%,11.90%,20.00%,10.00%,16125
Blake Treinen,64.1,10.49,2.66,0.56,0.248,54.80%,8.30%,1.79,2.1,2.26,53,2.99,2.67,3.18,63,75,1.8,0.181,0.95,1.73,35.50%,67.00%,48.30%,55.20%,84.80%,71.90%,40.80%,65.40%,13.60%,29.50%,7.50%,12572
Dillon Maples,30,11.1,6.3,0.6,0.18,50.80%,11.10%,1.78,2.1,4.23,51,4.37,4.46,4.66,107,110,0,0.13,1.13,-0.1,21.00%,57.10%,35.60%,44.60%,87.50%,72.40%,40.50%,54.30%,9.80%,28.70%,16.30%,14672
